RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2026,11470,양천구,10100,신정동,1,대지,1308,0000,동원로데오,20260903,85000,84.2,0.0,1.0,,,2006,아파트,중개거래,서울 양천구
2026,11305,강북구,10100,미아동,1,대지,0811,0000,두산위브트레지움,20260903,94000,84.97,0.0,1.0,,,2011,아파트,중개거래,서울 강북구
2026,11560,영등포구,11500,당산동5가,1,대지,0009,0003,당산역해링턴타워,20260903,19900,23.59,32.77,11.0,,,2015,오피스텔,중개거래,서울 영등포구
2026,11305,강북구,10100,미아동,1,대지,0194,0002,엘리프미아역1단지,20260903,84000,59.997,0.0,23.0,분양권,,0,아파트,중개거래,서울 강북구
2026,11560,영등포구,10400,영등포동3가,1,대지,0009,0013,에쉐르아이 시네마 쇼핑몰,20260903,12000,20.45,31.86,14.0,,,2005,오피스텔,직거래,
2026,11290,성북구,13400,길음동,1,대지,1277,0000,길음현대,20260903,75700,59.98,0.0,5.0,,,2000,아파트,중개거래,"서울 노원구, 서울 성북구"
2026,11560,영등포구,10400,영등포동3가,1,대지,0009,0013,에쉐르아이 시네마 쇼핑몰,20260903,18000,30.21,47.07,13.0,,,2005,오피스텔,직거래,
2026,11740,강동구,10900,천호동,1,대지,0019,0001,우성,20260903,83807,64.53,0.0,7.0,,,1985,아파트,직거래,
2026,11740,강동구,10700,암사동,1,대지,0473,0001,홍익주택,20260902,17000,63.12,35.0,3.0,,,1993,연립다세대,직거래,
2026,11140,중구,16500,황학동,1,대지,0836,0000,아미인,20260902,22000,17.11,4.0,8.0,,,2014,연립다세대,중개거래,서울 중구
2026,11545,금천구,10200,독산동,1,대지,0994,0014,글로리움,20260902,30000,24.3,19.0,2.0,,,2021,연립다세대,중개거래,서울 금천구
2026,11305,강북구,10100,미아동,1,대지,0194,0002,엘리프미아역1단지,20260902,98608,74.963,0.0,19.0,분양권,,0,아파트,직거래,
2026,11290,성북구,13800,장위동,1,대지,0319,0000,꿈의숲코오롱하늘채,20260902,129500,84.87,0.0,6.0,,,2017,아파트,중개거래,서울 성북구
2026,11560,영등포구,12600,양평동2가,1,대지,0001,0003,힘멜하임,20260902,14000,18.84,44.51,12.0,,,2014,오피스텔,중개거래,서울 영등포구
2026,11560,영등포구,12800,양평동4가,1,대지,0238,0002,선유도한강오피스텔,20260902,32000,35.06,42.78,9.0,,,2017,오피스텔,중개거래,서울 영등포구
